#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-07T16:50:02 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e8cae845526	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/ApJ/834/17&tab:{J/ApJ/834/17/table1}&key:source=J/ApJ/834/17&HTTPPRM:&&-ref=VIZ5e8cae845526&-out.max=unlimited&-out.form=ascii table&-order=I&-oc.form=sexa&-out.src=J/ApJ/834/17/table1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=Name&-out=Mass&-out=e_Mass&-out=x_Mass&-out=Rad&-out=e_Rad&-out=x_Rad&-out=Ref&-out=SimbadName&-out=_RA&-out=_DE&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=J/ApJ/834/17/table1
#-source=J/ApJ/834/17/table1
#-out=Name
#-out=Mass
#-out=e_Mass
#-out=x_Mass
#-out=Rad
#-out=e_Rad
#-out=x_Rad
#-out=Ref
#-out=SimbadName
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_18340017
#Name: J/ApJ/834/17
#Title: Mass & radius of planets, moons, low mass stars (Chen+, 2017)
#Table	J_ApJ_834_17_table1:
#Name: J/ApJ/834/17/table1
#Title: Masses and radii used for this study
#Column	Name	(a21)	Object Name	[ucd=meta.id;meta.main]
#Column	Mass	(F10.6)	[0.0003/318] Mass	[ucd=phys.mass]
#Column	e_Mass	(F7.4)	[0.0008/5]? Uncertainty in Mass	[ucd=stat.error;phys.mass]
#Column	x_Mass	(A4)	Units for Mass (Mjup or Msun)	[ucd=meta.unit;phys.mass]
#Column	Rad	(F7.4)	[0.1/12] Radius	[ucd=phys.size.radius]
#Column	e_Rad	(F7.4)	[0.001/0.4]? Uncertainty in Rad	[ucd=stat.error]
#Column	x_Rad	(A4)	Units for Radius (Rsun, Rjup or Rgeo)	[ucd=meta.unit]
#Column	Ref	(A19)	Reference (1)	[ucd=meta.ref;pos.frame]
#Column	SimbadName	(a24)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name	Mass	e_Mass	x_Mass	Rad	e_Rad	x_Rad	Ref	SimbadName	_RAdeg	_DEdeg
K2-19 b              	  0.138000	 0.0380	Mjup	 0.6660	 0.0680	Rjup	2015MNRAS.454.4267B	K2-19 b                 	174.96032	+00.60357
KELT-03 b            	  1.477000	 0.0660	Mjup	 1.3450	 0.0720	Rjup	2013ApJ...773...64P	KELT-03 b               	148.64328	+40.38805
KELT-04 b            	  0.902000	 0.0600	Mjup	 1.6990	 0.0460	Rjup	2016AJ....151...45E	KELT-04 b               	157.06255	+25.57319
KELT-07 b            	  1.280000	 0.1800	Mjup	 1.5330	 0.0470	Rjup	2015AJ....150...12B	KELT-07 b               	078.29554	+33.31817
KELT-15 b            	  1.196000	 0.0720	Mjup	 1.5200	 0.1200	Rjup	2016AJ....151..138R	KELT-15 b               	117.41500	-52.12043
Kepler-07 b          	  0.453000	 0.0680	Mjup	 1.6490	 0.0380	Rjup	2012MNRAS.426.1291S	Kepler-07 b             	288.58152	+41.08981
Kepler-08 b          	  0.590000	 0.1200	Mjup	 1.3810	 0.0370	Rjup	2011MNRAS.417.2166S	Kepler-08 b             	281.28812	+42.45108
Kepler-09 b          	  0.142000	 0.0050	Mjup	 0.9900	 0.0090	Rjup	2014arXiv1403.1372D	Kepler-09 b             	285.57398	+38.40088
Kepler-09 c          	  0.098000	 0.0030	Mjup	 0.9550	 0.0090	Rjup	2014arXiv1403.1372D	Kepler-09 c             	285.57398	+38.40088
Kepler-14 b          	  7.680000	 0.3800	Mjup	 1.1260	 0.0490	Rjup	2012MNRAS.426.1291S	Kepler-14 b             	287.70879	+47.33302
Kepler-15 b          	  0.696000	 0.0990	Mjup	 1.2890	 0.0540	Rjup	2012MNRAS.426.1291S	Kepler-15 b             	296.20060	+49.14009
Kepler-18 c          	  0.054000	 0.0060	Mjup	 0.4900	 0.0230	Rjup	2011ApJS..197....7C	Kepler-18 c             	298.07945	+44.74637
Kepler-18 d          	  0.051600	 0.0044	Mjup	 0.6230	 0.0290	Rjup	2011ApJS..197....7C	Kepler-18 d             	298.07945	+44.74637
Kepler-25 c          	  0.077000	 0.0180	Mjup	 0.4640	 0.0080	Rjup	2014ApJS..210...20M	Kepler-25 c             	286.63842	+39.48787
Kepler-26 b          	  0.016100	 0.0020	Mjup	 0.2480	 0.0100	Rjup	2016ApJ...820...39J	Kepler-26 b             	284.94100	+46.56654
Kepler-26 c          	  0.019500	 0.0021	Mjup	 0.2430	 0.0110	Rjup	2016ApJ...820...39J	Kepler-26 c             	284.94100	+46.56654
Kepler-29 b          	  0.014200	 0.0046	Mjup	 0.2990	 0.0200	Rjup	2016ApJ...820...39J	Kepler-29 b             	298.34832	+47.49122
Kepler-29 c          	  0.012600	 0.0041	Mjup	 0.2800	 0.0180	Rjup	2016ApJ...820...39J	Kepler-29 c             	298.34832	+47.49122
Kepler-30 b          	  0.035500	 0.0044	Mjup	 0.3500	 0.0200	Rjup	2012Natur.487..449S	Kepler-30 b             	285.28365	+38.94729
Kepler-30 d          	  0.072700	 0.0085	Mjup	 0.7900	 0.0400	Rjup	2012Natur.487..449S	Kepler-30 d             	285.28365	+38.94729
Kepler-34 b          	  0.220000	 0.0110	Mjup	 0.7640	 0.0450	Rjup	2012Natur.481..475W	Kepler-34 b             	296.43582	+44.64156
Kepler-35 b          	  0.127000	 0.0200	Mjup	 0.7280	 0.0140	Rjup	2012Natur.481..475W	Kepler-35 b             	294.49698	+46.68976
Kepler-39 b          	 19.100000	 1.0000	Mjup	 1.1100	 0.0300	Rjup	2015A&A...575A..85B	Kepler-39 b             	296.96028	+46.03429
Kepler-40 b          	  2.160000	 0.4300	Mjup	 1.4400	 0.1200	Rjup	2012MNRAS.426.1291S	Kepler-40 b             	296.81369	+47.52654
Kepler-41 b          	  0.560000	 0.0800	Mjup	 1.2900	 0.0200	Rjup	2015A&A...575A..85B	Kepler-41 b             	294.51323	+45.98164
Kepler-43 b          	  3.090000	 0.2100	Mjup	 1.1150	 0.0410	Rjup	2015A&A...575A..85B	Kepler-43 b             	285.24087	+46.66823
Kepler-44 b          	  1.000000	 0.1000	Mjup	 1.0900	 0.0700	Rjup	2015A&A...575A..85B	Kepler-44 b             	300.10235	+45.76214
Kepler-45 b          	  0.500000	 0.0600	Mjup	 0.9990	 0.0690	Rjup	2012MNRAS.426.1291S	Kepler-45 b             	292.87290	+41.06427
Kepler-48 c          	  0.046000	 0.0070	Mjup	 0.2420	 0.0120	Rjup	2014ApJS..210...20M	Kepler-48 c             	299.13921	+40.94902
Kepler-51 d          	  0.023900	 0.0035	Mjup	 0.8650	 0.0450	Rjup	2014ApJ...783...53M	Kepler-51 d             	296.47977	+49.93768
Kepler-56 b          	  0.069000	 0.0120	Mjup	 0.5810	 0.0250	Rjup	2013Sci...342..331H	Kepler-56 b             	293.75835	+41.87187
Kepler-56 c          	  0.569000	 0.0660	Mjup	 0.8740	 0.0410	Rjup	2013Sci...342..331H	Kepler-56 c             	293.75835	+41.87187
Kepler-60 c          	  0.012100	 0.0026	Mjup	 0.1700	 0.0130	Rjup	2016ApJ...820...39J	Kepler-60 c             	288.96124	+42.26501
Kepler-74 b          	  0.630000	 0.1200	Mjup	 0.9600	 0.0200	Rjup	2015A&A...575A..85B	Kepler-74 b             	293.09254	+41.35552
Kepler-75 b          	 10.100000	 0.4000	Mjup	 1.0500	 0.0300	Rjup	2015A&A...575A..85B	Kepler-75 b             	291.13759	+36.57739
Kepler-76 b          	  2.180000	 0.4200	Mjup	 1.2500	 0.0800	Rjup	2015ApJ...800...73F	Kepler-76 b             	294.19212	+39.61900
Kepler-77 b          	  0.430000	 0.0320	Mjup	 0.9600	 0.0160	Rjup	2013A&A...557A..74G	Kepler-77 b             	289.60796	+44.34544
Kepler-78 b          	  0.005900	 0.0008	Mjup	 0.1070	 0.0080	Rjup	2015ApJ...808..127G	Kepler-78 b             	293.74169	+44.44833
Kepler-79 e          	  0.012900	 0.0038	Mjup	 0.3110	 0.0120	Rjup	2014ApJ...785...15J	Kepler-79 e             	300.51711	+44.38156
Kepler-87 b          	  1.020000	 0.0280	Mjup	 1.2030	 0.0490	Rjup	2014A&A...561A.103O	Kepler-87 b             	297.91687	+46.96513
Kepler-87 c          	  0.020100	 0.0025	Mjup	 0.5480	 0.0260	Rjup	2014A&A...561A.103O	Kepler-87 c             	297.91687	+46.96513
Kepler-88 b          	  0.027400	 0.0079	Mjup	 0.3370	 0.0350	Rjup	2013ApJ...777....3N	Kepler-88 b             	291.14809	+40.66940
Kepler-89 d          	  0.333000	 0.0350	Mjup	 1.0050	 0.0950	Rjup	2013ApJ...768...14W	Kepler-89 d             	297.33306	+41.89112
Kepler-93 b          	  0.012600	 0.0021	Mjup	 0.1319	 0.0017	Rjup	2015ApJ...800..135D	Kepler-93 b             	291.41829	+38.67235
Kepler-94 b          	  0.034000	 0.0040	Mjup	 0.3130	 0.0130	Rjup	2014ApJS..210...20M	Kepler-94 b             	281.19475	+47.49714
Kepler-95 b          	  0.041000	 0.0090	Mjup	 0.3050	 0.0080	Rjup	2014ApJS..210...20M	Kepler-95 b             	284.48246	+44.39804
Kepler-99 b          	  0.019000	 0.0040	Mjup	 0.1320	 0.0070	Rjup	2014ApJS..210...20M	Kepler-99 b             	297.35400	+41.30005
Kepler-101 b         	  0.161000	 0.0160	Mjup	 0.5150	 0.0760	Rjup	2014A&A...572A...2B	Kepler-101 b            	283.25549	+48.35523
Kepler-102 e         	  0.028000	 0.0060	Mjup	 0.1980	 0.0060	Rjup	2014ApJS..210...20M	Kepler-102 e            	281.48275	+47.20803
Kepler-105 c         	  0.014500	 0.0029	Mjup	 0.1170	 0.0060	Rjup	2016ApJ...827...86K	Kepler-105 c            	287.88731	+46.27622
Kepler-106 c         	  0.033000	 0.0100	Mjup	 0.2230	 0.0290	Rjup	2014ApJS..210...20M	Kepler-106 c            	300.86397	+44.33756
Kepler-117 c         	  1.840000	 0.1800	Mjup	 1.1010	 0.0350	Rjup	2015A&A...573A.124B	Kepler-117 c            	288.79302	+48.04022
Kepler-131 b         	  0.051000	 0.0110	Mjup	 0.2150	 0.0180	Rjup	2014ApJS..210...20M	Kepler-131 b            	288.53082	+40.94230
Kepler-289 c         	  0.013000	 0.0030	Mjup	 0.2390	 0.0150	Rjup	2014ApJ...795..167S	Kepler-289 c            	297.46534	+42.88285
Kepler-289 d         	  0.415000	 0.0530	Mjup	 1.0340	 0.0170	Rjup	2014ApJ...795..167S	Kepler-289 d            	297.46534	+42.88285
Kepler-307 b         	  0.023400	 0.0029	Mjup	 0.2170	 0.0080	Rjup	2016ApJ...820...39J	Kepler-307 b            	297.79513	+40.41771
Kepler-406 b         	  0.020000	 0.0040	Mjup	 0.1280	 0.0030	Rjup	2014ApJS..210...20M	Kepler-406 b            	291.84805	+44.96822
Kepler-412 b         	  0.939000	 0.0850	Mjup	 1.3250	 0.0430	Rjup	2014A&A...564A..56D	Kepler-412 b            	286.11030	+43.68094
Kepler-420 b         	  1.450000	 0.3500	Mjup	 0.9400	 0.1200	Rjup	2014A&A...571A..37S	Kepler-420 b            	291.22518	+44.92738
Kepler-422 b         	  0.430000	 0.1300	Mjup	 1.1500	 0.1100	Rjup	2014ApJ...795..151E	Kepler-422 b            	282.62965	+46.32336
Kepler-423 b         	  0.595000	 0.0810	Mjup	 1.1920	 0.0520	Rjup	2015A&A...576A..11G	Kepler-423 b            	292.85574	+46.39118
Kepler-433 b         	  2.820000	 0.5200	Mjup	 1.4500	 0.1600	Rjup	2015A&A...575A..71A	Kepler-433 b            	297.59364	+40.97727
Kepler-435 b         	  0.840000	 0.1500	Mjup	 1.9900	 0.1800	Rjup	2015A&A...575A..71A	Kepler-435 b            	292.28733	+43.19728
Kepler-447 b         	  1.370000	 0.1600	Mjup	 1.6500	 0.2000	Rjup	2015A&A...577A.105L	Kepler-447 b            	285.26859	+48.56001
Kepler-454 b         	  0.021400	 0.0044	Mjup	 0.2110	 0.0120	Rjup	2016ApJ...816...95G	Kepler-454 b            	287.47852	+38.22884
KOI-188 b            	  0.250000	 0.0800	Mjup	 0.9780	 0.0220	Rjup	2014A&A...572A..93H	KOI-188 b               	290.35801	+40.56774
KOI-192 b            	  0.290000	 0.0900	Mjup	 1.2300	 0.2100	Rjup	2014A&A...572A..93H	KOI-192 b               	288.25458	+43.70487
KOI-195 b            	  0.340000	 0.0800	Mjup	 1.0900	 0.0300	Rjup	2014A&A...572A..93H	KOI-195 b               	289.43463	+49.47340
KOI-372 b            	  3.250000	 0.2000	Mjup	 0.8820	 0.0880	Rjup	2016A&A...590A.112M	KOI-372.01              	299.12245	+41.86676
KOI-830 b            	  1.270000	 0.1900	Mjup	 1.0800	 0.0300	Rjup	2014A&A...572A..93H	KOI-830 b               	290.58172	+40.57740
KOI-1474 b           	  2.600000	 0.3000	Mjup	 0.9600	 0.1200	Rjup	2014ApJ...791...89D	KOI-1474 b              	295.41790	+51.18476
LHS-6343 b           	 62.100000	 1.2000	Mjup	 0.7830	 0.0110	Rjup	2015ApJ...800..134M	KOI-959.01              	287.55981	+46.95726
OGLE-TR-010 b        	  0.680000	 0.1500	Mjup	 1.7200	 0.1100	Rjup	2010MNRAS.408.1689S	NAME OGLE-TR-10b        	267.86771	-29.87636
OGLE-TR-056 b        	  1.410000	 0.1700	Mjup	 1.7340	 0.0580	Rjup	2012MNRAS.426.1291S	NAME OGLE-TR-56b        	269.14796	-29.53922
OGLE-TR-111 b        	  0.550000	 0.1000	Mjup	 1.0110	 0.0380	Rjup	2012MNRAS.426.1291S	NAME OGLE-TR-111b       	163.32462	-61.40564
OGLE-TR-113 b        	  1.230000	 0.2000	Mjup	 1.0880	 0.0540	Rjup	2012MNRAS.426.1291S	NAME OGLE-TR-113b       	163.10167	-61.44681
OGLE-TR-132 b        	  1.170000	 0.1500	Mjup	 1.2290	 0.0750	Rjup	2012MNRAS.426.1291S	NAME OGLE-TR-132b       	162.64467	-61.95719
OGLE-TR-182 b        	  1.060000	 0.1500	Mjup	 1.4700	 0.1400	Rjup	2010MNRAS.408.1689S	NAME OGLE-TR-182b       	167.32796	-61.09525
Qatar-1 b            	  1.294000	 0.0520	Mjup	 1.1430	 0.0260	Rjup	2017AJ....153...78C	Qatar 1b                	303.38173	+65.16208
Qatar-2 b            	  2.494000	 0.0540	Mjup	 1.2540	 0.0130	Rjup	2014MNRAS.443.2391M	Qatar 2b                	207.65587	-06.80400
TrES-1 b             	  0.761000	 0.0510	Mjup	 1.0990	 0.0350	Rjup	2010MNRAS.408.1689S	NAME TrES-1b            	286.04102	+36.63265
TrES-2 b             	  1.206000	 0.0490	Mjup	 1.1930	 0.0230	Rjup	2011MNRAS.417.2166S	NAME TrES-2b            	286.80848	+49.31641
TrES-3 b             	  1.899000	 0.0620	Mjup	 1.3100	 0.0190	Rjup	2011MNRAS.417.2166S	NAME TrES-3b            	268.02925	+37.54616
TrES-5 b             	  1.790000	 0.0680	Mjup	 1.1940	 0.0150	Rjup	2015MNRAS.448.2546B	NAME TrES-5b            	305.22188	+59.44878
WASP-02 b            	  0.880000	 0.0380	Mjup	 1.0630	 0.0280	Rjup	2012MNRAS.426.1291S	WASP-02 b               	307.72554	+06.42955
WASP-04 b            	  1.249000	 0.0520	Mjup	 1.3640	 0.0280	Rjup	2012MNRAS.426.1291S	WASP-04 b               	353.56284	-42.06143
WASP-05 b            	  1.595000	 0.0520	Mjup	 1.1750	 0.0550	Rjup	2012MNRAS.426.1291S	WASP-05 b               	359.34900	-41.27715
WASP-06 b            	  0.485000	 0.0280	Mjup	 1.2300	 0.0370	Rjup	2015MNRAS.450.1760T	WASP-06 b               	348.15730	-22.67393
WASP-07 b            	  0.980000	 0.1300	Mjup	 1.3740	 0.0940	Rjup	2012MNRAS.426.1291S	WASP-07 b               	311.04258	-39.22525
WASP-11 b            	  0.492000	 0.0240	Mjup	 0.9900	 0.0230	Rjup	2015A&A...579A.136M	WASP-11 b               	047.36893	+30.67354
WASP-13 b            	  0.512000	 0.0600	Mjup	 1.5280	 0.0840	Rjup	2012MNRAS.426.1291S	WASP-13 b               	140.10292	+33.88241
WASP-15 b            	  0.592000	 0.0190	Mjup	 1.4080	 0.0460	Rjup	2013MNRAS.434.1300S	WASP-15 b               	208.92794	-32.15963
WASP-16 b            	  0.832000	 0.0380	Mjup	 1.2180	 0.0400	Rjup	2013MNRAS.434.1300S	WASP-16 b               	214.68301	-20.27551
WASP-17 b            	  0.477000	 0.0330	Mjup	 1.9320	 0.0530	Rjup	2012MNRAS.426.1338S	WASP-17 b               	239.96228	-28.06176
WASP-18 b            	 10.520000	 0.3200	Mjup	 1.2040	 0.0280	Rjup	2013MNRAS.428.2645M	WASP-18 b               	024.35431	-45.67789
WASP-19 b            	  1.139000	 0.0360	Mjup	 1.4100	 0.0210	Rjup	2013MNRAS.436....2M	WASP-19 b               	148.41699	-45.65918
WASP-20 b            	  0.311000	 0.0170	Mjup	 1.4620	 0.0590	Rjup	2015A&A...575A..61A	WASP-20 b               	005.16057	-23.93571
WASP-21 b            	  0.276000	 0.0190	Mjup	 1.1620	 0.0540	Rjup	2013A&A...557A..30C	WASP-21 b               	347.49272	+18.39608
WASP-24 b            	  1.109000	 0.0540	Mjup	 1.3030	 0.0470	Rjup	2014MNRAS.444..776S	WASP-24 b               	227.21558	+02.34332
WASP-25 b            	  0.598000	 0.0460	Mjup	 1.2470	 0.0320	Rjup	2014MNRAS.444..776S	WASP-25 b               	195.35989	-27.52221
WASP-26 b            	  1.020000	 0.0330	Mjup	 1.2160	 0.0470	Rjup	2014MNRAS.444..776S	WASP-26 b               	004.60292	-15.26731
WASP-28 b            	  0.907000	 0.0430	Mjup	 1.2130	 0.0420	Rjup	2015A&A...575A..61A	WASP-28 b               	353.61617	-01.58004
WASP-29 b            	  0.244000	 0.0200	Mjup	 0.7760	 0.0430	Rjup	2013MNRAS.428.3680G	WASP-29 b               	357.87952	-39.90674
WASP-31 b            	  0.478000	 0.0290	Mjup	 1.5490	 0.0500	Rjup	2011A&A...531A..60A	WASP-31 b               	169.43899	-19.05478
WASP-32 b            	  3.600000	 0.0700	Mjup	 1.1800	 0.0700	Rjup	2010PASP..122.1465M	WASP-32 b               	003.96186	+01.20021
WASP-35 b            	  0.720000	 0.0600	Mjup	 1.3200	 0.0500	Rjup	2011AJ....142...86E	WASP-35 b               	076.08177	-06.22982
WASP-36 b            	  2.303000	 0.0680	Mjup	 1.2810	 0.0290	Rjup	2012AJ....143...81S	WASP-36 b               	131.58041	-08.02695
WASP-38 b            	  2.691000	 0.0580	Mjup	 1.0940	 0.0290	Rjup	2011A&A...525A..54B	WASP-38 b               	243.95985	+10.03259
WASP-39 b            	  0.280000	 0.0300	Mjup	 1.2700	 0.0400	Rjup	2011A&A...531A..40F	WASP-39 b               	217.32670	-03.44449
WASP-41 b            	  0.977000	 0.0260	Mjup	 1.1780	 0.0180	Rjup	2016MNRAS.457.4205S	WASP-41 b               	190.61874	-30.63987
WASP-42 b            	  0.527000	 0.0280	Mjup	 1.1220	 0.0390	Rjup	2016MNRAS.457.4205S	WASP-42 b               	192.98155	-42.07361
WASP-43 b            	  2.034000	 0.0520	Mjup	 1.0360	 0.0190	Rjup	2012A&A...542A...4G	WASP-43 b               	154.90837	-09.80627
WASP-44 b            	  0.869000	 0.0810	Mjup	 1.0020	 0.0380	Rjup	2013MNRAS.430.2932M	WASP-44 b               	003.90321	-11.93814
WASP-45 b            	  1.002000	 0.0620	Mjup	 0.9920	 0.0380	Rjup	2016MNRAS.456..990C	WASP-45 b               	005.23749	-35.99828
WASP-46 b            	  1.910000	 0.1300	Mjup	 1.1740	 0.0370	Rjup	2016MNRAS.456..990C	WASP-46 b               	318.73692	-55.87179
WASP-47 b            	  1.130000	 0.0600	Mjup	 1.1340	 0.0390	Rjup	2015ApJ...812L..18B	WASP-47 b               	331.20305	-12.01889
WASP-47 c            	  0.038000	 0.0120	Mjup	 0.1621	 0.0058	Rjup	2015ApJ...813L...9D	WASP-47 c               	331.20305	-12.01889
WASP-48 b            	  0.907000	 0.0850	Mjup	 1.3960	 0.0510	Rjup	2015A&A...577A..54C	WASP-48 b               	291.16243	+55.47316
WASP-49 b            	  0.378000	 0.0270	Mjup	 1.1150	 0.0470	Rjup	2012A&A...544A..72L	WASP-49 b               	091.08942	-16.96529
WASP-50 b            	  1.437000	 0.0680	Mjup	 1.1380	 0.0260	Rjup	2013MNRAS.431..966T	WASP-50 b               	043.68806	-10.89807
WASP-52 b            	  0.460000	 0.0200	Mjup	 1.1660	 0.0880	Rjup	2015JATIS...1b7002S	WASP-52 b               	348.49483	+08.76128
WASP-54 b            	  0.636000	 0.0250	Mjup	 1.6530	 0.0900	Rjup	2013A&A...551A..73F	WASP-54 b               	205.45428	-00.12806
WASP-56 b            	  0.571000	 0.0350	Mjup	 1.0920	 0.0350	Rjup	2013A&A...551A..73F	WASP-56 b               	183.36627	+23.05564
WASP-57 b            	  0.644000	 0.0620	Mjup	 1.0500	 0.0530	Rjup	2015MNRAS.454.3094S	WASP-57 b               	223.82008	-02.05765
WASP-58 b            	  0.890000	 0.0700	Mjup	 1.3700	 0.2000	Rjup	2013A&A...549A.134H	WASP-58 b               	274.70105	+45.17199
WASP-59 b            	  0.863000	 0.0450	Mjup	 0.7750	 0.0680	Rjup	2013A&A...549A.134H	WASP-59 b               	349.62308	+24.88928
WASP-60 b            	  0.514000	 0.0340	Mjup	 0.8600	 0.1200	Rjup	2013A&A...549A.134H	WASP-60 b               	356.66660	+31.15596
WASP-61 b            	  2.060000	 0.1700	Mjup	 1.2400	 0.0300	Rjup	2012MNRAS.426..739H	WASP-61 b               	075.29965	-26.05416
WASP-62 b            	  0.570000	 0.0400	Mjup	 1.3900	 0.0600	Rjup	2012MNRAS.426..739H	WASP-62 b               	087.13998	-63.98841
WASP-64 b            	  1.271000	 0.0680	Mjup	 1.2710	 0.0390	Rjup	2013A&A...552A..82G	WASP-64 b               	101.11504	-32.85840
WASP-65 b            	  1.550000	 0.1600	Mjup	 1.1120	 0.0590	Rjup	2013A&A...559A..36G	WASP-65 b               	133.32425	+08.52300
WASP-66 b            	  2.320000	 0.1300	Mjup	 1.3900	 0.0900	Rjup	2012MNRAS.426..739H	WASP-66 b               	158.22500	-34.98982
WASP-67 b            	  0.406000	 0.0350	Mjup	 1.0910	 0.0460	Rjup	2014A&A...568A.127M	WASP-67 b               	295.74380	-19.94956
WASP-69 b            	  0.260000	 0.0170	Mjup	 1.0570	 0.0470	Rjup	2014MNRAS.445.1114A	WASP-69 b               	315.02581	-05.09447
WASP-71 b            	  2.242000	 0.0800	Mjup	 1.4600	 0.1300	Rjup	2013A&A...552A.120S	WASP-71 b               	029.26337	+00.75881
WASP-72 b            	  1.461000	 0.0590	Mjup	 1.2700	 0.2000	Rjup	2013A&A...552A..82G	WASP-72 b               	041.04000	-30.16921
WASP-74 b            	  0.950000	 0.0600	Mjup	 1.5600	 0.0600	Rjup	2015AJ....150...18H	WASP-74 b               	304.53885	-01.07573
WASP-75 b            	  1.070000	 0.0500	Mjup	 1.2700	 0.0480	Rjup	2013A&A...559A..36G	WASP-75 b               	342.38570	-10.67554
WASP-77 b            	  1.760000	 0.0600	Mjup	 1.2100	 0.0200	Rjup	2013PASP..125...48M	WASP-77 b               	037.15572	-07.06151
WASP-78 b            	  0.890000	 0.0800	Mjup	 1.7000	 0.1100	Rjup	2012A&A...547A..61S	WASP-78 b               	063.75627	-22.11642
WASP-79 b            	  0.900000	 0.0800	Mjup	 2.0900	 0.1400	Rjup	2012A&A...547A..61S	WASP-79 b               	066.37092	-30.60043
WASP-80 b            	  0.562000	 0.0270	Mjup	 0.9860	 0.0220	Rjup	2014A&A...562A.126M	WASP-80 b               	303.16736	-02.14422
WASP-84 b            	  0.687000	 0.0330	Mjup	 0.9760	 0.0250	Rjup	2015ApJ...800L...9A	WASP-84 b               	131.10714	+01.86000
WASP-85 b            	  1.265000	 0.0620	Mjup	 1.2400	 0.0300	Rjup	2016AJ....151..150M	WASP-85 b               	175.90833	+06.56361
WASP-87 b            	  2.180000	 0.1500	Mjup	 1.3850	 0.0600	Rjup	2014arXiv1410.3449A	WASP-87 b               	185.32468	-52.84079
WASP-89 b            	  5.900000	 0.4000	Mjup	 1.0400	 0.0400	Rjup	2015AJ....150...18H	WASP-89 b               	313.89996	-18.97111
WASP-90 b            	  0.630000	 0.0700	Mjup	 1.6300	 0.0900	Rjup	2016A&A...585A.126W	WASP-90 b               	315.53197	+07.05624
WASP-96 b            	  0.480000	 0.0300	Mjup	 1.2000	 0.0600	Rjup	2014MNRAS.440.1982H	WASP-96 b               	001.04635	-47.36062
WASP-97 b            	  1.320000	 0.0500	Mjup	 1.1300	 0.0600	Rjup	2014MNRAS.440.1982H	WASP-97 b               	024.60434	-55.77209
WASP-98 b            	  0.830000	 0.0700	Mjup	 1.1000	 0.0400	Rjup	2014MNRAS.440.1982H	WASP-98 b               	058.42880	-34.32819
WASP-100 b           	  2.030000	 0.1200	Mjup	 1.6900	 0.2900	Rjup	2014MNRAS.440.1982H	WASP-100 b              	068.95972	-64.02704
WASP-101 b           	  0.500000	 0.0400	Mjup	 1.4100	 0.0500	Rjup	2014MNRAS.440.1982H	WASP-101 b              	098.35111	-23.48619
WASP-103 b           	  1.470000	 0.1100	Mjup	 1.5540	 0.0450	Rjup	2015MNRAS.447..711S	WASP-103 b              	249.31487	+07.18335
WASP-104 b           	  1.272000	 0.0470	Mjup	 1.1370	 0.0370	Rjup	2014A&A...570A..64S	WASP-104 b              	160.60243	+07.43502
WASP-108 b           	  0.892000	 0.0550	Mjup	 1.2840	 0.0470	Rjup	2014arXiv1410.3449A	WASP-108                	195.82806	-49.63968
WASP-109 b           	  0.910000	 0.1300	Mjup	 1.4430	 0.0530	Rjup	2014arXiv1410.3449A	WASP-109                	232.05510	-16.41076
WASP-110 b           	  0.510000	 0.0640	Mjup	 1.2380	 0.0560	Rjup	2014arXiv1410.3449A	WASP-110                	305.87268	-44.05847
WASP-111 b           	  1.830000	 0.1500	Mjup	 1.4430	 0.0940	Rjup	2014arXiv1410.3449A	WASP-111                	328.76766	-22.61257
WASP-112 b           	  0.880000	 0.1200	Mjup	 1.1910	 0.0490	Rjup	2014arXiv1410.3449A	WASP-112                	339.48933	-35.15399
WASP-120 b           	  5.010000	 0.2600	Mjup	 1.5150	 0.0830	Rjup	2016PASP..128f4401T	WASP-120                	062.61606	-45.89821
WASP-121 b           	  1.183000	 0.0640	Mjup	 1.8650	 0.0440	Rjup	2016MNRAS.458.4025D	WASP-121 b              	107.60024	-39.09737
WASP-122 b           	  1.372000	 0.0720	Mjup	 1.7920	 0.0690	Rjup	2016PASP..128f4401T	WASP-122 b              	108.30145	-42.40978
WASP-123 b           	  0.920000	 0.0500	Mjup	 1.3270	 0.0740	Rjup	2016PASP..128f4401T	WASP-123                	289.47936	-32.85996
WASP-135 b           	  1.900000	 0.0800	Mjup	 1.3000	 0.0900	Rjup	2016PASP..128b4401S	WASP-135 b              	267.28500	+29.87914
